Model,Holdout,bin,rows,fraud_rows,score_min,score_max,mean_score,observed_fraud_rate,abs_calibration_error
XGBoost[Raw] Calibration Base,full,9,5696,2,1.321658237e-05,3.023711179e-05,1.974333201e-05,0.000351124,0.00033138
XGBoost[Raw] Calibration Base,full,10,5696,69,3.024553189e-05,0.999943733,0.011054122,0.012113764,0.001059642
XGBoost[Raw] Calibrated,sampled,1,2008,0,0.000299532,0.000299535,0.000299533,0.0,0.000299533
XGBoost[Raw] Calibrated,sampled,2,2008,0,0.000299535,0.000299537,0.000299536,0.0,0.000299536
XGBoost[Raw] Calibrated,sampled,3,2008,0,0.000299537,0.000299539,0.000299538,0.0,0.000299538
XGBoost[Raw] Calibrated,sampled,4,2008,0,0.000299539,0.000299542,0.000299541,0.0,0.000299541
XGBoost[Raw] Calibrated,sampled,5,2008,0,0.000299542,0.000299547,0.000299544,0.0,0.000299544
XGBoost[Raw] Calibrated,sampled,6,2007,1,0.000299547,0.000299553,0.00029955,0.000498256,0.000198707
XGBoost[Raw] Calibrated,sampled,7,2007,0,0.000299553,0.000299564,0.000299558,0.0,0.000299558
XGBoost[Raw] Calibrated,sampled,8,2007,3,0.000299564,0.000299587,0.000299574,0.001494768,0.001195194
XGBoost[Raw] Calibrated,sampled,9,2007,2,0.000299587,0.000299659,0.000299615,0.000996512,0.000696897
XGBoost[Raw] Calibrated,sampled,10,2007,69,0.00029966,0.997468203,0.028585338,0.034379671,0.005794333
XGBoost[Raw] Calibrated,full,1,5697,0,0.000299532,0.000299535,0.000299533,0.0,0.000299533
XGBoost[Raw] Calibrated,full,2,5697,0,0.000299535,0.000299537,0.000299536,0.0,0.000299536
XGBoost[Raw] Calibrated,full,3,5696,0,0.000299537,0.000299539,0.000299538,0.0,0.000299538
XGBoost[Raw] Calibrated,full,4,5696,0,0.000299539,0.000299542,0.000299541,0.0,0.000299541
XGBoost[Raw] Calibrated,full,5,5696,0,0.000299542,0.000299547,0.000299544,0.0,0.000299544
XGBoost[Raw] Calibrated,full,6,5696,1,0.000299547,0.000299553,0.00029955,0.000175562,0.000123988
XGBoost[Raw] Calibrated,full,7,5696,0,0.000299553,0.000299565,0.000299558,0.0,0.000299558
XGBoost[Raw] Calibrated,full,8,5696,3,0.000299565,0.000299587,0.000299575,0.000526685,0.000227111
XGBoost[Raw] Calibrated,full,9,5696,2,0.000299587,0.000299659,0.000299615,0.000351124,5.15086507e-05
XGBoost[Raw] Calibrated,full,10,5696,69,0.000299659,0.997468203,0.01074892,0.012113764,0.001364844
XGBoost[Raw + TabPFN embeddings],sampled,1,2008,0,3.410881106e-07,3.170227046e-06,1.996387462e-06,0.0,1.996387462e-06
XGBoost[Raw + TabPFN embeddings],sampled,2,2008,0,3.172235665e-06,5.35399613e-06,4.258329388e-06,0.0,4.258329388e-06
XGBoost[Raw + TabPFN embeddings],sampled,3,2008,0,5.354093446e-06,8.075287042e-06,6.660857865e-06,0.0,6.660857865e-06
XGBoost[Raw + TabPFN embeddings],sampled,4,2008,0,8.084040019e-06,1.178187813e-05,9.829037476e-06,0.0,9.829037476e-06
XGBoost[Raw + TabPFN embeddings],sampled,5,2008,0,1.178199273e-05,1.673008228e-05,1.401277172e-05,0.0,1.401277172e-05
XGBoost[Raw + TabPFN embeddings],sampled,6,2007,0,1.673075349e-05,2.607020724e-05,2.080416393e-05,0.0,2.080416393e-05
XGBoost[Raw + TabPFN embeddings],sampled,7,2007,0,2.60731922e-05,4.495593748e-05,3.419784104e-05,0.0,3.419784104e-05
XGBoost[Raw + TabPFN embeddings],sampled,8,2007,1,4.495765097e-05,9.225787653e-05,6.478617176e-05,0.000498256,0.00043347
XGBoost[Raw + TabPFN embeddings],sampled,9,2007,4,9.235822654e-05,0.000283811,0.000163919,0.001993024,0.001829105
XGBoost[Raw + TabPFN embeddings],sampled,10,2007,70,0.000283958,0.997357786,0.027687872,0.034877927,0.007190055
XGBoost[Raw + TabPFN embeddings],full,1,5697,0,3.410881106e-07,3.194619694e-06,1.997830527e-06,0.0,1.997830527e-06
XGBoost[Raw + TabPFN embeddings],full,2,5697,0,3.194619694e-06,5.385279565e-06,4.285432458e-06,0.0,4.285432458e-06
XGBoost[Raw + TabPFN embeddings],full,3,5696,0,5.38555696e-06,8.068866009e-06,6.660662561e-06,0.0,6.660662561e-06
XGBoost[Raw + TabPFN embeddings],full,4,5696,0,8.06893604e-06,1.173446981e-05,9.816688647e-06,0.0,9.816688647e-06
XGBoost[Raw + TabPFN embeddings],full,5,5696,0,1.173574492e-05,1.675499152e-05,1.406369391e-05,0.0,1.406369391e-05
XGBoost[Raw + TabPFN embeddings],full,6,5696,0,1.675559724e-05,2.587653398e-05,2.081930478e-05,0.0,2.081930478e-05
XGBoost[Raw + TabPFN embeddings],full,7,5696,0,2.58776472e-05,4.462137804e-05,3.404823142e-05,0.0,3.404823142e-05
XGBoost[Raw + TabPFN embeddings],full,8,5696,1,4.462175639e-05,9.139032045e-05,6.377947477e-05,0.000175562,0.000111782
XGBoost[Raw + TabPFN embeddings],full,9,5696,4,9.139972099e-05,0.000277941,0.000161316,0.000702247,0.000540931
XGBoost[Raw + TabPFN embeddings],full,10,5696,70,0.000277941,0.997357786,0.011193967,0.012289326,0.001095358
XGBoost[Raw + TabPFN embeddings] Calibration Base,sampled,1,2008,0,3.736578549e-07,3.273213906e-06,1.959691019e-06,0.0,1.959691019e-06
XGBoost[Raw + TabPFN embeddings] Calibration Base,sampled,2,2008,0,3.273244829e-06,5.932974545e-06,4.575264999e-06,0.0,4.575264999e-06
XGBoost[Raw + TabPFN embeddings] Calibration Base,sampled,3,2008,0,5.936653906e-06,9.09510436e-06,7.464844464e-06,0.0,7.464844464e-06
XGBoost[Raw + TabPFN embeddings] Calibration Base,sampled,4,2008,0,9.095771929e-06,1.289063039e-05,1.091089127e-05,0.0,1.091089127e-05
XGBoost[Raw + TabPFN embeddings] Calibration Base,sampled,5,2008,1,1.289153988e-05,1.837360105e-05,1.546229446e-05,0.000498008,0.000482546
XGBoost[Raw + TabPFN embeddings] Calibration Base,sampled,6,2007,0,1.839120159e-05,2.719740951e-05,2.229022645e-05,0.0,2.229022645e-05
XGBoost[Raw + TabPFN embeddings] Calibration Base,sampled,7,2007,0,2.72013549e-05,4.280915164e-05,3.433761167e-05,0.0,3.433761167e-05
