Model,Evaluation Window,Type,Value,Alerts,Precision,Recall
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,top_rate,0.3,472,0.4300847457627119,0.5546448087431693
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,target_recall,0.5,425,0.43058823529411766,0.5
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,target_recall,0.7,638,0.40282131661442006,0.7021857923497268
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,target_recall,0.8,849,0.3451118963486455,0.8005464480874317
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,target_recall,0.9,1150,0.28695652173913044,0.9016393442622951
XGBoost[Raw + TabICL embeddings],holdout,top_rate,0.05,79,0.8607594936708861,0.18579234972677597
XGBoost[Raw + TabICL embeddings],holdout,top_rate,0.1,158,0.6265822784810127,0.27049180327868855
XGBoost[Raw + TabICL embeddings],holdout,top_rate,0.2,315,0.5142857142857142,0.4426229508196721
XGBoost[Raw + TabICL embeddings],holdout,top_rate,0.3,472,0.4406779661016949,0.5683060109289617
XGBoost[Raw + TabICL embeddings],holdout,target_recall,0.5,392,0.46683673469387754,0.5
XGBoost[Raw + TabICL embeddings],holdout,target_recall,0.7,681,0.37738619676945667,0.7021857923497268
XGBoost[Raw + TabICL embeddings],holdout,target_recall,0.8,850,0.3447058823529412,0.8005464480874317
XGBoost[Raw + TabICL embeddings],holdout,target_recall,0.9,1088,0.30330882352941174,0.9016393442622951
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,top_rate,0.05,79,0.8481012658227848,0.1830601092896175
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,top_rate,0.1,158,0.7721518987341772,0.3333333333333333
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,top_rate,0.2,315,0.48253968253968255,0.41530054644808745
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,top_rate,0.3,472,0.3834745762711864,0.49453551912568305
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,target_recall,0.5,482,0.3796680497925311,0.5
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,target_recall,0.7,778,0.33033419023136246,0.7021857923497268
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,target_recall,0.8,898,0.3262806236080178,0.8005464480874317
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,target_recall,0.9,1059,0.311614730878187,0.9016393442622951
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,top_rate,0.05,79,0.06329113924050633,0.01366120218579235
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,top_rate,0.1,158,0.056962025316455694,0.02459016393442623
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,top_rate,0.2,315,0.07936507936507936,0.06830601092896176
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,top_rate,0.3,472,0.06991525423728813,0.09016393442622951
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,target_recall,0.5,1089,0.16804407713498623,0.5
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,target_recall,0.7,1427,0.1800981079187106,0.7021857923497268
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,target_recall,0.8,1483,0.19757248819959541,0.8005464480874317
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,target_recall,0.9,1534,0.2151238591916558,0.9016393442622951
