Model,Evaluation Window,month,rows,top_k,spearman_ic,top_k_hit_rate,selected_mean_forward_return,universe_mean_forward_return,active_forward_return
Rule[12M momentum top-k],holdout,2022-04,25,5,0.09846153846153846,0.6,0.052681908143523734,0.010536842747959452,0.042145065395564285
Rule[12M momentum top-k],holdout,2022-05,25,5,0.012307692307692308,0.4,-0.06865176042966456,-0.07287346936361745,0.004221708933952892
Rule[12M momentum top-k],holdout,2022-06,25,5,-0.32692307692307687,0.0,0.021990256821633913,0.05655602416142594,-0.034565767339792025
Rule[12M momentum top-k],holdout,2022-07,25,5,0.4876923076923077,0.6,-0.009003226194899416,-0.03955625578342088,0.030553029588521467
Rule[12M momentum top-k],holdout,2022-08,25,5,0.1523076923076923,0.2,-0.052022902493728054,-0.0569238973443395,0.004900994850611448
Rule[12M momentum top-k],holdout,2022-09,25,5,0.30538461538461537,0.2,0.091406160295517,0.05320743137922002,0.03819872891629698
Rule[12M momentum top-k],holdout,2022-10,25,5,-0.25461538461538463,0.0,0.03785521958011451,0.05679527962457159,-0.018940060044457085
Rule[12M momentum top-k],holdout,2022-11,25,5,0.19692307692307692,0.0,-0.030022442262130487,-0.030486299292534186,0.00046385703040369847
Rule[12M momentum top-k],holdout,2022-12,25,5,-0.8392307692307692,0.0,0.00714938443106492,0.0453518351253069,-0.038202450694241975
Rule[12M momentum top-k],holdout,2023-01,25,5,-0.23384615384615384,0.0,-0.06408581706102119,-0.036788564173675604,-0.027297252887345587
Rule[12M momentum top-k],holdout,2023-02,25,5,-0.10384615384615385,0.0,0.019679206847990693,0.02800888677347048,-0.008329679925479786
Rule[12M momentum top-k],holdout,2023-03,25,5,0.18461538461538463,0.2,0.0025628125968225612,0.008176761269779696,-0.005613948672957135
Rule[12M momentum top-k],holdout,2023-04,25,5,-0.03153846153846154,0.2,-0.030780337085183528,-0.022281771653133033,-0.008498565432050496
Rule[12M momentum top-k],holdout,2023-05,25,5,-0.03538461538461538,0.2,0.037419067366429457,0.04213858010973293,-0.004719512743303476
Rule[12M momentum top-k],holdout,2023-06,25,5,0.29384615384615387,0.0,0.024991649213870294,0.024872318996855575,0.00011933021701471952
Rule[12M momentum top-k],holdout,2023-07,25,5,0.2892307692307692,0.4,0.004626391638093641,-0.011716276714760401,0.016342668352854042
Rule[12M momentum top-k],holdout,2023-08,25,5,-0.06615384615384615,0.0,-0.07500446496540616,-0.05200131419392319,-0.023003150771482975
Rule[12M momentum top-k],holdout,2023-09,25,5,0.03769230769230769,0.2,-0.02277283503807226,-0.014257824729759769,-0.00851501030831249
Rule[12M momentum top-k],holdout,2023-10,25,5,0.09538461538461537,0.4,0.08823281428669012,0.07028742850054791,0.017945385786142215
Rule[12M momentum top-k],holdout,2023-11,25,5,0.03615384615384615,0.2,0.026066748143149753,0.03833103377245285,-0.012264285629303099
Rule[12M momentum top-k],holdout,2023-12,25,5,0.17615384615384613,0.6,0.008301732667677864,-0.0016680486093222412,0.009969781277000104
Rule[12M momentum top-k],holdout,2024-01,25,5,0.576923076923077,0.6,0.04858730419023014,0.02200748883192737,0.026579815358302773
Rule[12M momentum top-k],holdout,2024-02,25,5,-0.01769230769230769,0.0,0.01992405154404948,0.03547267737362383,-0.015548625829574347
Rule[12M momentum top-k],holdout,2024-03,25,5,-0.5492307692307692,0.0,-0.04909129654299009,-0.03038393883022008,-0.01870735771277001
Rule[12M momentum top-k],holdout,2024-04,25,5,0.1276923076923077,0.4,0.053531016372152476,0.03858234625200459,0.014948670120147889
Rule[12M momentum top-k],holdout,2024-05,25,5,-0.09615384615384616,0.4,0.015396695686346384,0.005875100185899931,0.009521595500446452
Rule[12M momentum top-k],holdout,2024-06,25,5,-0.34384615384615386,0.2,0.0029773266643692065,0.030199185187228198,-0.02722185852285899
Rule[12M momentum top-k],holdout,2024-07,25,5,0.05153846153846154,0.0,0.01378655321754454,0.013461795615944249,0.0003247576016002906
Rule[12M momentum top-k],holdout,2024-08,25,5,0.26384615384615384,0.2,0.030802879597270284,0.030435552168564348,0.00036732742870593596
Rule[12M momentum top-k],holdout,2024-09,25,5,0.3146153846153846,0.4,0.008595059395096038,-0.010666001655943193,0.01926106105103923
Rule[12M momentum top-k],holdout,2024-10,25,5,0.3423076923076923,0.4,0.03787076778414793,0.02855067300702422,0.009320094777123707
Rule[12M momentum top-k],holdout,2024-11,25,5,-0.2407692307692308,0.0,-0.058668092706900966,-0.03755688634105421,-0.021111206365846756
Rule[12M momentum top-k],holdout,2024-12,25,5,-0.016153846153846154,0.4,0.024847984388026646,0.016857356906338605,0.00799062748168804
Rule[12M momentum top-k],holdout,2025-01,25,5,-0.30230769230769233,0.0,0.009680035110222685,0.018716185390149017,-0.009036150279926332
Rule[12M momentum top-k],holdout,2025-02,25,5,-0.1453846153846154,0.4,0.004635957272503033,-0.01761580618567086,0.022251763458173892
Rule[12M momentum top-k],holdout,2025-03,25,5,0.06999999999999999,0.2,-0.009863039384196082,-0.011693638258600982,0.0018305988744049002
Rule[12M momentum top-k],holdout,2025-04,25,5,0.07846153846153846,0.0,0.031321851026223646,0.028813096568311162,0.002508754457912484
Rule[12M momentum top-k],holdout,2025-05,25,5,-0.2915384615384616,0.0,0.017597909123892187,0.030568332693022202,-0.012970423569130016
Rule[12M momentum top-k],holdout,2025-06,25,5,0.16923076923076924,0.4,0.016527691727287984,0.006917584034977073,0.00961010769231091
Rule[12M momentum top-k],holdout,2025-07,25,5,-0.05307692307692308,0.2,0.0273093155124317,0.021690475095598908,0.0056188404168327905
Rule[12M momentum top-k],holdout,2025-08,25,5,0.5892307692307692,0.6,0.07980411036573706,0.03573151554994267,0.04407259481579439
Rule[12M momentum top-k],holdout,2025-09,25,5,0.6153846153846153,0.6,0.03725952198864051,0.011074812126935951,0.026184709861704555
Rule[12M momentum top-k],holdout,2025-10,25,5,-0.43461538461538457,0.4,0.0211966475968004,0.013984383017208932,0.007212264579591468
Rule[12M momentum top-k],holdout,2025-11,25,5,0.5746153846153847,0.8,0.08789410514208389,0.020344472514725546,0.06754963262735834
Rule[12M momentum top-k],holdout,2025-12,25,5,0.13692307692307693,0.4,0.050123894963657725,0.030385954668528285,0.01973794029512944
Rule[12M momentum top-k],holdout,2026-01,25,5,0.2846153846153846,0.4,0.04803532841319125,0.03269640805459751,0.015338920358593737
Rule[12M momentum top-k],holdout,2026-02,25,5,-0.3876923076923077,0.0,-0.08928633503658363,-0.036566787634927475,-0.05271954740165616
Rule[12M momentum top-k],holdout,2026-03,25,5,0.07692307692307691,0.2,0.02864266701465392,0.05167545879192894,-0.02303279177727502
Rule[6M momentum top-k],calibration,2018-01,25,5,0.16538461538461538,0.4,-0.018487526746328763,-0.03704489963779191,0.018557372891463145
