month,asset,weight,Strategy
2025-10,IEF,0.04,Equal weight universe
2025-11,IEF,0.04,Equal weight universe
2025-12,IEF,0.04,Equal weight universe
2026-01,IEF,0.04,Equal weight universe
2026-02,IEF,0.04,Equal weight universe
2026-03,IEF,0.04,Equal weight universe
2020-01,IWM,0.04,Equal weight universe
2020-02,IWM,0.04,Equal weight universe
2020-03,IWM,0.04,Equal weight universe
2020-04,IWM,0.04,Equal weight universe
2020-05,IWM,0.04,Equal weight universe
2020-06,IWM,0.04,Equal weight universe
2020-07,IWM,0.04,Equal weight universe
2020-08,IWM,0.04,Equal weight universe
2020-09,IWM,0.04,Equal weight universe
2020-10,IWM,0.04,Equal weight universe
2020-11,IWM,0.04,Equal weight universe
2020-12,IWM,0.04,Equal weight universe
2021-01,IWM,0.04,Equal weight universe
2021-02,IWM,0.04,Equal weight universe
2021-03,IWM,0.04,Equal weight universe
2021-04,IWM,0.04,Equal weight universe
2021-05,IWM,0.04,Equal weight universe
2021-06,IWM,0.04,Equal weight universe
2021-07,IWM,0.04,Equal weight universe
2021-08,IWM,0.04,Equal weight universe
2021-09,IWM,0.04,Equal weight universe
2021-10,IWM,0.04,Equal weight universe
2021-11,IWM,0.04,Equal weight universe
2021-12,IWM,0.04,Equal weight universe
2022-01,IWM,0.04,Equal weight universe
2022-02,IWM,0.04,Equal weight universe
2022-03,IWM,0.04,Equal weight universe
2022-04,IWM,0.04,Equal weight universe
2022-05,IWM,0.04,Equal weight universe
2022-06,IWM,0.04,Equal weight universe
2022-07,IWM,0.04,Equal weight universe
2022-08,IWM,0.04,Equal weight universe
2022-09,IWM,0.04,Equal weight universe
2022-10,IWM,0.04,Equal weight universe
2022-11,IWM,0.04,Equal weight universe
2022-12,IWM,0.04,Equal weight universe
2023-01,IWM,0.04,Equal weight universe
2023-02,IWM,0.04,Equal weight universe
2023-03,IWM,0.04,Equal weight universe
2023-04,IWM,0.04,Equal weight universe
2023-05,IWM,0.04,Equal weight universe
2023-06,IWM,0.04,Equal weight universe
2023-07,IWM,0.04,Equal weight universe
2023-08,IWM,0.04,Equal weight universe
2023-09,IWM,0.04,Equal weight universe
2023-10,IWM,0.04,Equal weight universe
2023-11,IWM,0.04,Equal weight universe
2023-12,IWM,0.04,Equal weight universe
2024-01,IWM,0.04,Equal weight universe
2024-02,IWM,0.04,Equal weight universe
2024-03,IWM,0.04,Equal weight universe
2024-04,IWM,0.04,Equal weight universe
2024-05,IWM,0.04,Equal weight universe
