Model,Score Decile High to Low,Rows,High Vol Rows,Observed High Vol Rate,Score Min,Score Max,Score Mean
Rule[VIX/realized volatility gap 20d],1,158,44,0.27848101265822783,0.10687965734196458,0.2281452948658984,0.13230465697952756
Rule[VIX/realized volatility gap 20d],2,157,31,0.19745222929936307,0.07926678563320239,0.10678771631682626,0.09218300862297946
Rule[VIX/realized volatility gap 20d],3,157,25,0.1592356687898089,0.06560985392129991,0.07926603909599486,0.07141314994436959
Rule[VIX/realized volatility gap 20d],4,157,36,0.22929936305732485,0.05511018722577907,0.06547754908640416,0.05960040130008335
Rule[VIX/realized volatility gap 20d],5,157,27,0.17197452229299362,0.04505988187868565,0.054975724025290496,0.05025334793968775
Rule[VIX/realized volatility gap 20d],6,157,19,0.12101910828025478,0.03426096583694377,0.0450449550865418,0.03964232145315777
Rule[VIX/realized volatility gap 20d],7,157,31,0.19745222929936307,0.023951657403235044,0.03424996120212215,0.029035247979453553
Rule[VIX/realized volatility gap 20d],8,157,30,0.1910828025477707,0.013231095611173735,0.023936158039758376,0.018590672157398378
Rule[VIX/realized volatility gap 20d],9,157,43,0.27388535031847133,-0.01366438163278283,0.013197923681503215,0.0022423048655971257
Rule[VIX/realized volatility gap 20d],10,157,80,0.5095541401273885,-0.4657379802354755,-0.013896370771802696,-0.10192770059961523
XGBoost[Raw all-history incumbent],1,158,117,0.740506329113924,0.5715408325195312,0.9479089975357056,0.7815160385415524
XGBoost[Raw all-history incumbent],2,157,85,0.5414012738853503,0.2800775468349457,0.5696831941604614,0.3955902540759676
XGBoost[Raw all-history incumbent],3,157,44,0.2802547770700637,0.20287318527698517,0.28004908561706543,0.23440326607910691
XGBoost[Raw all-history incumbent],4,157,33,0.21019108280254778,0.14457647502422333,0.20208191871643066,0.1691475791536319
XGBoost[Raw all-history incumbent],5,157,24,0.15286624203821655,0.11699295043945312,0.1442846804857254,0.13013208130742335
XGBoost[Raw all-history incumbent],6,157,21,0.1337579617834395,0.09653162211179733,0.11687976866960526,0.10736269484849492
XGBoost[Raw all-history incumbent],7,157,12,0.07643312101910828,0.07567586749792099,0.09650899469852448,0.08675864395821929
XGBoost[Raw all-history incumbent],8,157,10,0.06369426751592357,0.05119062587618828,0.07538248598575592,0.06427714190665323
XGBoost[Raw all-history incumbent],9,157,16,0.10191082802547771,0.036130327731370926,0.05115605890750885,0.043343684309796925
XGBoost[Raw all-history incumbent],10,157,4,0.025477707006369428,0.01262794528156519,0.03595387563109398,0.027871719235257737
TabPFN[Direct all-history],1,158,119,0.7531645569620253,0.6046398282051086,0.9754966497421265,0.8006493087056317
TabPFN[Direct all-history],2,157,92,0.5859872611464968,0.34358975291252136,0.6036630272865295,0.45555699175330483
TabPFN[Direct all-history],3,157,53,0.3375796178343949,0.19970703125,0.3431013524532318,0.2621423151272877
TabPFN[Direct all-history],4,157,30,0.1910828025477707,0.1435546875,0.19931648671627045,0.167827996193983
TabPFN[Direct all-history],5,157,22,0.14012738853503184,0.111328125,0.1435546875,0.12609843710425553
TabPFN[Direct all-history],6,157,9,0.05732484076433121,0.09407240152359009,0.1112738847732544,0.1022195288804686
TabPFN[Direct all-history],7,157,12,0.07643312101910828,0.07866951823234558,0.09402648359537125,0.08582190960455852
TabPFN[Direct all-history],8,157,6,0.03821656050955414,0.06499847769737244,0.07861328125,0.07159856422122117
TabPFN[Direct all-history],9,157,10,0.06369426751592357,0.04954363778233528,0.06482724845409393,0.05744613287080625
TabPFN[Direct all-history],10,157,13,0.08280254777070063,0.0016533590387552977,0.04949044808745384,0.03532500203052286
TabICL[Direct all-history],1,158,120,0.759493670886076,0.6482685208320618,0.9919232726097107,0.8272993643827076
TabICL[Direct all-history],2,157,73,0.46496815286624205,0.3892884850502014,0.6478972434997559,0.5122789581110523
TabICL[Direct all-history],3,157,48,0.3057324840764331,0.27595269680023193,0.3885149657726288,0.3246315565838176
TabICL[Direct all-history],4,157,33,0.21019108280254778,0.2116340845823288,0.2757360637187958,0.24185048423375294
TabICL[Direct all-history],5,157,24,0.15286624203821655,0.16685643792152405,0.21154341101646423,0.18776616947666094
TabICL[Direct all-history],6,157,15,0.09554140127388536,0.1351686418056488,0.16678087413311005,0.15100636878970322
TabICL[Direct all-history],7,157,28,0.17834394904458598,0.10929317027330399,0.13478858768939972,0.12091857764371641
TabICL[Direct all-history],8,157,17,0.10828025477707007,0.08147913217544556,0.10929307341575623,0.09482377459099338
TabICL[Direct all-history],9,157,5,0.03184713375796178,0.049953363835811615,0.0813574492931366,0.06520601784347728
TabICL[Direct all-history],10,157,3,0.01910828025477707,0.0010826534125953913,0.04990188404917717,0.03344117662614318
