Model,Evaluation Window,bin,rows,observed_rate,mean_predicted_probability,score_min,score_max
TabPFN[Direct allocation scorer] Calibration Base,calibration,"(0.375, 0.385]",21,0.3333333333333333,0.37858236403692336,0.37564072012901306,0.38427734375
TabPFN[Direct allocation scorer] Calibration Base,calibration,"(0.385, 0.469]",22,0.6363636363636364,0.40871388803828845,0.3851037919521332,0.46875
TabPFN[Direct allocation scorer] Calibration Base,holdout,"(0.0815, 0.164]",68,0.22058823529411764,0.13345057232414975,0.08246353268623352,0.16357421875
TabPFN[Direct allocation scorer] Calibration Base,holdout,"(0.164, 0.239]",67,0.2835820895522388,0.2006067713694786,0.16367630660533905,0.23846717178821564
TabPFN[Direct allocation scorer] Calibration Base,holdout,"(0.239, 0.311]",68,0.36764705882352944,0.27794409455621943,0.23858363926410675,0.3103785216808319
TabPFN[Direct allocation scorer] Calibration Base,holdout,"(0.311, 0.357]",67,0.19402985074626866,0.3427640635575821,0.31103515625,0.3572649657726288
TabPFN[Direct allocation scorer] Calibration Base,holdout,"(0.357, 0.366]",69,0.4057971014492754,0.36238113088884216,0.357421875,0.36572265625
TabPFN[Direct allocation scorer] Calibration Base,holdout,"(0.366, 0.37]",66,0.3787878787878788,0.36855657850251056,0.3662109375,0.3702709376811981
TabPFN[Direct allocation scorer] Calibration Base,holdout,"(0.37, 0.374]",67,0.44776119402985076,0.3721923587927178,0.37045177817344666,0.3740234375
TabPFN[Direct allocation scorer] Calibration Base,holdout,"(0.374, 0.378]",70,0.2857142857142857,0.3759962843997138,0.37435898184776306,0.3777777850627899
TabPFN[Direct allocation scorer] Calibration Base,holdout,"(0.378, 0.383]",68,0.2647058823529412,0.3800452938851188,0.3779296875,0.38330078125
TabPFN[Direct allocation scorer] Calibration Base,holdout,"(0.383, 0.432]",65,0.49230769230769234,0.39524420224703277,0.3836385905742645,0.4317793548107147
TabICL[Direct allocation scorer],holdout,"(0.0945, 0.159]",68,0.22058823529411764,0.13002247768728173,0.0955461710691452,0.15814541280269623
TabICL[Direct allocation scorer],holdout,"(0.159, 0.287]",67,0.31343283582089554,0.23685723698850888,0.16076308488845825,0.2860362231731415
TabICL[Direct allocation scorer],holdout,"(0.287, 0.33]",68,0.36764705882352944,0.3115738687269828,0.28781241178512573,0.33015918731689453
TabICL[Direct allocation scorer],holdout,"(0.33, 0.342]",67,0.29850746268656714,0.33739265176787303,0.3303992450237274,0.3422659635543823
TabICL[Direct allocation scorer],holdout,"(0.342, 0.347]",68,0.27941176470588236,0.345096647301141,0.34226617217063904,0.3474140763282776
TabICL[Direct allocation scorer],holdout,"(0.347, 0.353]",67,0.3283582089552239,0.3507685487839713,0.3474143147468567,0.3533414602279663
TabICL[Direct allocation scorer],holdout,"(0.353, 0.36]",68,0.35294117647058826,0.35639386624097824,0.3535892963409424,0.35956400632858276
TabICL[Direct allocation scorer],holdout,"(0.36, 0.373]",67,0.34328358208955223,0.36471894739279104,0.3598138988018036,0.37265726923942566
TabICL[Direct allocation scorer],holdout,"(0.373, 0.413]",67,0.29850746268656714,0.3862793721369843,0.37265750765800476,0.4111632704734802
TabICL[Direct allocation scorer],holdout,"(0.413, 0.538]",68,0.5294117647058824,0.4628716404823696,0.414846271276474,0.5384438633918762
TabICL[Direct allocation scorer] Calibration Base,calibration,"(0.0649, 0.121]",22,0.22727272727272727,0.09322218698534099,0.06587139517068863,0.11911173909902573
TabICL[Direct allocation scorer] Calibration Base,calibration,"(0.121, 0.198]",22,0.18181818181818182,0.15158639238639313,0.12327179312705994,0.19768530130386353
TabICL[Direct allocation scorer] Calibration Base,calibration,"(0.198, 0.338]",21,0.23809523809523808,0.3037271818944386,0.19785748422145844,0.3376401960849762
TabICL[Direct allocation scorer] Calibration Base,calibration,"(0.338, 0.351]",22,0.5,0.3462943895296617,0.3390977680683136,0.3508661091327667
TabICL[Direct allocation scorer] Calibration Base,calibration,"(0.351, 0.357]",21,0.19047619047619047,0.3536028067270915,0.35185524821281433,0.35706907510757446
TabICL[Direct allocation scorer] Calibration Base,calibration,"(0.357, 0.364]",25,0.4,0.36115803360939025,0.357318252325058,0.36407381296157837
TabICL[Direct allocation scorer] Calibration Base,calibration,"(0.364, 0.368]",18,0.3333333333333333,0.36614251964622074,0.3645764887332916,0.3681028485298157
TabICL[Direct allocation scorer] Calibration Base,calibration,"(0.368, 0.372]",22,0.3181818181818182,0.3699640374292027,0.36835533380508423,0.372150182723999
