month,Equal weight universe,SPY only,60/40 SPY/TLT,Inverse volatility universe,12M momentum top-k portfolio,Low volatility top-k portfolio,Rule[12M momentum top-k],Rule[6M momentum top-k],Rule[Low volatility top-k],Rule[Risk-adjusted momentum top-k],TabICL[Direct allocation scorer],TabICL[Direct allocation scorer] Calibration Base,TabPFN[Direct allocation scorer],TabPFN[Direct allocation scorer] Calibration Base,XGBoost[GPU allocation scorer],XGBoost[GPU allocation scorer] Calibrated,XGBoost[GPU allocation scorer] Calibration Base
2022-10,0.06414315010475716,0.05559158961023525,0.06195915571369155,0.06238287290868674,0.058274344290920224,0.05178460312759117,0.058274344290920224,0.036647018245296696,0.05178460312759117,0.036647018245296696,0.04631284277866358,0.05379895191438574,0.07745737161693048,0.07745737161693048,0.04631284277866358,0.04631284277866358,0.04631284277866358
2022-11,-0.03544087005723335,-0.057628111563220674,-0.04505700684629521,-0.026981571706361788,-0.015296892658796558,-0.0010475966863707402,-0.015296892658796558,-0.046779537510662175,-0.0010475966863707402,-0.050048226648901,-0.06854048654267797,-0.06887381987601131,-0.06887381987601131,-0.0559517100774014,-0.0713020498005023,-0.0713020498005023,-0.0713020498005023
2022-12,0.07437022924082363,0.0628873637588343,0.06830699415997761,0.06506837944543653,0.04302441448709123,0.043357747820424564,0.04302441448709123,0.0659149962513544,0.043357747820424564,0.061185068450815276,0.1028807392697039,0.08901566659660934,0.1028807392697039,0.08397013811136973,0.08706991683037467,0.08706991683037467,0.08706991683037467
2023-01,-0.037115054867956396,-0.02514273532748501,-0.03448785418966571,-0.03669639080000009,-0.030254054049591396,-0.03507859468781656,-0.030254054049591396,-0.04952902549843793,-0.03507859468781656,-0.04919569216510459,-0.026491502273015406,-0.02682483560634874,-0.026491502273015406,-0.04630575482584472,-0.02682483560634874,-0.02682483560634874,-0.02682483560634874
2023-02,0.030973313849227944,0.037077862676123896,0.041604040738639284,0.03187376419088253,0.016843855686157684,0.04540526235624264,0.016843855686157684,0.01651052235282435,0.04540526235624264,0.04153836372664111,0.008299758010189527,0.05051130079985414,0.008299758010189527,0.04120503039330777,0.04153836372664111,0.04153836372664111,0.04153836372664111
2023-03,0.0022289448153535044,0.015975002693808804,0.010938450653026965,0.0029333584126664393,0.00593068804806803,0.0062640213814013634,0.00593068804806803,0.0011132447902828901,0.0062640213814013634,0.009559205991288233,-0.00324243506082611,-0.0035757683941594434,-0.00324243506082611,0.0014465781236162236,-0.0035757683941594434,0.000705588757823931,0.000705588757823931
2023-04,-0.006512926893225788,0.004616080447374493,-0.009291529793367916,-0.008372313471260337,0.022678046434226846,-0.017239931234481604,0.022678046434226846,0.013798536599029593,-0.017239931234481604,0.023344713100893512,0.010353402150147274,0.010353402150147274,0.010353402150147274,0.004733251401419706,0.010353402150147274,0.010020068816813941,0.010020068816813941
2023-05,0.032666746812751786,0.06479979732844532,0.039748313232881485,0.027590734348909827,0.035208205730342,0.01641244121894403,0.035208205730342,0.03487487239700867,0.01641244121894403,0.035208205730342,0.06666873976701766,0.06666873976701766,0.06666873976701766,0.06633540643368432,0.06666873976701766,0.06917055387049849,0.06917055387049849
2023-06,0.02391837895915696,0.0327332535032574,0.00946286252026773,0.01999852964902374,0.0438074665490766,0.0121243158474628,0.0438074665490766,0.0438074665490766,0.0121243158474628,0.0438074665490766,0.04001132345203776,0.04001132345203776,0.04001132345203776,0.04001132345203776,0.04001132345203776,0.03967799011870443,0.03967799011870443
2023-07,-0.025736607923668754,-0.01625200729296028,-0.02231944937883139,-0.020080567486349708,-0.014953220103831781,-0.007241551891288019,-0.014953220103831781,-0.0273033214628315,-0.007241551891288019,-0.0273033214628315,-0.02079561346403617,-0.03314571482303589,-0.03314571482303589,-0.03195902554054286,-0.03314571482303589,-0.044309126899542584,-0.044309126899542584
