Strategy,Metric,Point Estimate,Bootstrap Median,CI Lower,CI Upper,Bootstrap Iterations Requested,Bootstrap Iterations Used,Confidence Level
TabPFN[Direct allocation scorer],mean_monthly_return,0.015214321599186986,0.015554885150824191,0.005806835813272669,0.025009970989889822,400,400,0.95
TabPFN[Direct allocation scorer],cagr,0.18309709627386117,0.18820993141036735,0.05369140280004712,0.3328248685795623,400,400,0.95
TabPFN[Direct allocation scorer],annualized_volatility,0.16230082925390174,0.1590054367257896,0.12553431207901025,0.19481759265413598,400,400,0.95
TabPFN[Direct allocation scorer],sharpe,1.124897882712788,1.1825406180453015,0.4158399946774843,2.251253927650245,400,400,0.95
TabPFN[Direct allocation scorer] | inverse-vol capped top-k,mean_monthly_return,0.013953908489612796,0.014327238672254591,0.005534272769346186,0.024170093769786304,400,400,0.95
TabPFN[Direct allocation scorer] | inverse-vol capped top-k,cagr,0.16808960225688185,0.17385035189458709,0.05649403155647761,0.32258764728163847,400,400,0.95
TabPFN[Direct allocation scorer] | inverse-vol capped top-k,annualized_volatility,0.14943594644198374,0.14732490778050517,0.11995715383089994,0.17261976907988544,400,400,0.95
TabPFN[Direct allocation scorer] | inverse-vol capped top-k,sharpe,1.1205262579868107,1.1844396118350733,0.43986778833576073,2.160872297469169,400,400,0.95
TabPFN[Direct allocation scorer] Calibration Base,mean_monthly_return,0.011816517937445927,0.012672252265428592,0.002492784367605554,0.02245591910484935,400,400,0.95
TabPFN[Direct allocation scorer] Calibration Base,cagr,0.13806552595563004,0.15009234761723178,0.016107974287473157,0.2933581762866957,400,400,0.95
TabPFN[Direct allocation scorer] Calibration Base,annualized_volatility,0.15350150878902133,0.15129246141960517,0.12363735491794206,0.17897876607964172,400,400,0.95
TabPFN[Direct allocation scorer] Calibration Base,sharpe,0.9237577947474399,1.0120980612759982,0.17987077752308286,1.967694883496509,400,400,0.95
TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,mean_monthly_return,0.010514612653143435,0.010266881030670014,0.0012285895967852167,0.019710999781850532,400,400,0.95
TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,cagr,0.12346772411705809,0.12060121629977483,0.004736309539122363,0.25469389213304633,400,400,0.95
TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,annualized_volatility,0.1366013280277947,0.13335002853676736,0.11197788711238446,0.1605507766464391,400,400,0.95
TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,sharpe,0.9236758797253267,0.9242139022922287,0.10315923551017181,1.8221172225446138,400,400,0.95
XGBoost[GPU allocation scorer],mean_monthly_return,0.013886455013131297,0.013868905237855087,0.0010333200069528883,0.024661342851553473,400,400,0.95
XGBoost[GPU allocation scorer],cagr,0.16033793427717713,0.16152608053124606,-0.01092523281572822,0.3174819160947751,400,400,0.95
XGBoost[GPU allocation scorer],annualized_volatility,0.18390855802394349,0.18027350109977416,0.14248896861738602,0.2259531189863348,400,400,0.95
XGBoost[GPU allocation scorer],sharpe,0.9060886668247414,0.9028102054016365,0.05233698961888262,1.7073171277427106,400,400,0.95
XGBoost[GPU allocation scorer] | inverse-vol capped top-k,mean_monthly_return,0.013232590114775606,0.01281562528567316,0.00234806305847991,0.023385788572576685,400,400,0.95
XGBoost[GPU allocation scorer] | inverse-vol capped top-k,cagr,0.15383947796443564,0.14864705829432023,0.009905569244552062,0.30170741847903965,400,400,0.95
XGBoost[GPU allocation scorer] | inverse-vol capped top-k,annualized_volatility,0.1727592183511613,0.17157359345875897,0.13899879631046644,0.2069254185173601,400,400,0.95
XGBoost[GPU allocation scorer] | inverse-vol capped top-k,sharpe,0.9191467922396968,0.9037305556971651,0.14900259929726864,1.748334766220988,400,400,0.95
XGBoost[GPU allocation scorer] Calibrated,mean_monthly_return,0.012628890703823092,0.012279943922373172,5.716622681749922e-05,0.023939218222650865,400,400,0.95
XGBoost[GPU allocation scorer] Calibrated,cagr,0.14416065887504637,0.13929178068020265,-0.019963006296321792,0.3106745653179647,400,400,0.95
XGBoost[GPU allocation scorer] Calibrated,annualized_volatility,0.17973347931621672,0.17637896917135298,0.14002416031633408,0.2197876127364481,400,400,0.95
