Model,Evaluation Window,bin,rows,observed_rate,mean_predicted_probability,score_min,score_max
TabPFN[Direct allocation scorer] Calibration Base,holdout,"(0.3268, 0.3278]",65,0.4,0.3277155215923603,0.32763671875,0.3277967870235443
TabPFN[Direct allocation scorer] Calibration Base,holdout,"(0.3278, 0.3286]",67,0.373134328358209,0.32861328125,0.32861328125,0.32861328125
TabPFN[Direct allocation scorer] Calibration Base,holdout,"(0.3286, 0.3294]",75,0.24,0.3293425166606903,0.3292653262615204,0.3294261395931244
TabPFN[Direct allocation scorer] Calibration Base,holdout,"(0.3294, 0.3311]",113,0.336283185840708,0.33050456563983344,0.32958984375,0.3310546875
TabPFN[Direct allocation scorer] Calibration Base,holdout,"(0.3311, 0.3363]",35,0.2571428571428571,0.33251491274152484,0.33203125,0.33561310172080994
TabPFN[Direct allocation scorer] Calibration Base,holdout,"(0.3363, 0.3535]",75,0.4266666666666667,0.34661549687385557,0.3427734375,0.353515625
TabICL[Direct allocation scorer],holdout,"(0.1, 0.171]",75,0.24,0.12980291962623597,0.10087861865758896,0.139604851603508
TabICL[Direct allocation scorer],holdout,"(0.171, 0.253]",75,0.14666666666666667,0.18013294259707133,0.17453525960445404,0.1867368370294571
TabICL[Direct allocation scorer],holdout,"(0.253, 0.301]",75,0.2,0.27675670305887856,0.26928281784057617,0.29205647110939026
TabICL[Direct allocation scorer],holdout,"(0.301, 0.312]",80,0.2875,0.30984903164207933,0.3047769367694855,0.3121834099292755
TabICL[Direct allocation scorer],holdout,"(0.312, 0.314]",82,0.34146341463414637,0.3133330363325956,0.3121836185455322,0.314050555229187
TabICL[Direct allocation scorer],holdout,"(0.314, 0.316]",86,0.37209302325581395,0.31548758266970167,0.3149862587451935,0.3159235119819641
TabICL[Direct allocation scorer],holdout,"(0.316, 0.317]",56,0.3392857142857143,0.31661091319152285,0.3159237205982208,0.31686243414878845
TabICL[Direct allocation scorer],holdout,"(0.317, 0.319]",78,0.3076923076923077,0.3182371885348589,0.31780245900154114,0.31874436140060425
TabICL[Direct allocation scorer],holdout,"(0.319, 0.327]",68,0.3382352941176471,0.3207450789563796,0.3196873664855957,0.32537755370140076
TabICL[Direct allocation scorer],holdout,"(0.327, 0.358]",75,0.4266666666666667,0.3499918313821157,0.3417777121067047,0.35756751894950867
TabICL[Direct allocation scorer] Calibration Base,calibration,"(0.0923, 0.196]",24,0.25,0.11491210199892521,0.09327346086502075,0.13048222661018372
TabICL[Direct allocation scorer] Calibration Base,calibration,"(0.196, 0.231]",24,0.125,0.21024738190074763,0.20377792418003082,0.21748517453670502
TabICL[Direct allocation scorer] Calibration Base,calibration,"(0.231, 0.287]",24,0.3333333333333333,0.24736368159453073,0.23495236039161682,0.2533680200576782
