Months,CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Monthly Return,Annualized Turnover,Average Holdings,Total Transaction Cost,Final Equity,Strategy,Base Transaction Cost Bps,Tax Drag Bps Per Turnover
75,0.02635507045791452,0.1661704466014702,0.24451689798486903,0.2526831736294631,-0.24102458844149577,0.003385956844979318,13.01653924283956,5.0,0.2440601108032418,1.176549493312854,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,5.0,25.0
75,0.13458350624597903,0.14882447900945237,0.9260240009266443,1.543425803826688,-0.15927442006668346,0.01148458662401304,5.4719999999999995,5.0,0.1881,2.201546745845851,12M momentum top-k portfolio,5.0,50.0
75,0.15236244256173181,0.17863154244235208,0.887524431200668,1.2482421242747916,-0.23312890167018896,0.013211654841720545,0.16,1.0,0.0055,2.426229319191485,SPY only,5.0,50.0
75,0.11129092182829514,0.13705603180300355,0.841968927485348,1.1208755479556296,-0.16752143615502246,0.009616410008547722,0.16,25.0,0.0055,1.9338533682926278,Equal weight universe,5.0,50.0
75,0.12925261338005756,0.1614730937905828,0.8384627428917297,0.9915433294958491,-0.17845156897122139,0.011282431093572135,7.648,5.0,0.2629000000000001,2.137688406471103,TabPFN[Direct allocation scorer] Calibration Base,5.0,50.0
75,0.10689023086685778,0.14834130354249328,0.7616385910759226,1.0018539488169649,-0.15321704201831632,0.009415205119039196,9.097768934972137,5.0,0.3127358071396672,1.8864854744047332,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,5.0,50.0
75,0.12290501090473938,0.18461526167414985,0.7255096644102978,0.8583156237208609,-0.21524395830698206,0.011161679711852649,6.944,5.0,0.23870000000000002,2.063687217211108,TabPFN[Direct allocation scorer],5.0,50.0
75,0.11684584029883349,0.1829066639187982,0.6999214419217809,0.8529944632863383,-0.20916798675011827,0.010668357995595653,8.597889999909055,5.0,0.2955524687468738,1.9950679588594435,TabPFN[Direct allocation scorer] | inverse-vol capped top-k,5.0,50.0
75,0.058272856214148794,0.09198305004311622,0.6631589909786572,0.8824935292161068,-0.14564046502025496,0.005083282221144357,1.1787420634238985,25.0,0.04051925843019652,1.4247391430175325,Inverse volatility universe,5.0,50.0
75,0.09380780215257567,0.15351816704786733,0.6612845648626597,1.0819981829681542,-0.17863441990271878,0.008459932857896839,9.632,5.0,0.3311,1.751383909947821,Rule[Risk-adjusted momentum top-k],5.0,50.0
75,0.07073623350179914,0.1286410031111352,0.5963429871348814,0.9935578703071481,-0.2493699522382724,0.006392846671943495,0.16,2.0,0.0055,1.5329063420607818,60/40 SPY/TLT,5.0,50.0
75,0.06849737253026866,0.1397000900954138,0.5437975897155172,0.9040772104598451,-0.1997021345695904,0.006330714356410552,11.102953584618515,5.0,0.38166402947126143,1.512983235850751,Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,5.0,50.0
75,0.06007439222988675,0.15114804938032317,0.46204893723710994,0.6838590971833955,-0.19173899266135752,0.005819816298470045,7.392,5.0,0.25410000000000005,1.439965699934892,Rule[6M momentum top-k],5.0,50.0
75,0.017461700226771182,0.06297936350025314,0.30610564899887266,0.5024906972033658,-0.11675758305338935,0.001606528244815075,1.952,5.0,0.0671,1.114263589171368,Low volatility top-k portfolio,5.0,50.0
75,0.03785659717284795,0.1794116761965072,0.3009484995542724,0.34307544644664395,-0.23975030964119792,0.0044994728961546505,13.536000000000001,5.0,0.4653,1.2614163017091666,XGBoost[GPU allocation scorer],5.0,50.0
75,0.02937148301325987,0.13550117784191634,0.2811759328447696,0.4038502171644382,-0.23789331608792808,0.003174972506772155,8.928342032869468,5.0,0.30691175737988796,1.1983283371904012,Rule[6M momentum top-k] | inverse-vol capped top-k,5.0,50.0
