trial,params,mean_test_score,std_test_score,fold_scores,mean_best_iteration,max_best_iteration,fold_best_iterations,early_stopping_rounds,errors
134,"{""colsample_bylevel"": 0.8086758787064872, ""colsample_bytree"": 0.7376965985199816, ""gamma"": 0.1668380918277294, ""learning_rate"": 0.148811858360155, ""max_bin"": 283, ""max_delta_step"": 3, ""max_depth"": 9, ""min_child_weight"": 0.49709251520954373, ""n_estimators"": 1843, ""reg_alpha"": 1.0554811980704315, ""reg_lambda"": 1.2288217756668096, ""scale_pos_weight"": 1.0, ""subsample"": 0.7360970956864082}",0.26352588776160984,0.02429663806906686,"[0.2656114202127841, 0.27746302233995274, 0.2184186625309098, 0.27120170081463435, 0.2968202969054707, 0.25164022376590717]",19.166666666666668,85.0,"[12, 14, 1, 2, 1, 85]",75,
135,"{""colsample_bylevel"": 0.5609430466684737, ""colsample_bytree"": 0.5496321422440742, ""gamma"": 0.19576904777694057, ""learning_rate"": 0.006427591133916833, ""max_bin"": 286, ""max_delta_step"": 0, ""max_depth"": 3, ""min_child_weight"": 0.1960939393874842, ""n_estimators"": 1351, ""reg_alpha"": 55.01588793086928, ""reg_lambda"": 2.4005836848907185, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.9170868895769264}",0.24820665522746674,0.04673482178579112,"[0.2145771050141911, 0.20976377205742838, 0.2111402306805022, 0.2795266873211192, 0.3376794463150966, 0.23655268997646306]",24.166666666666668,95.0,"[28, 1, 9, 95, 7, 5]",75,
136,"{""colsample_bylevel"": 0.6867548415191937, ""colsample_bytree"": 0.7395745567845795, ""gamma"": 5.10073830843132e-05, ""learning_rate"": 0.003032733593670577, ""max_bin"": 245, ""max_delta_step"": 10, ""max_depth"": 7, ""min_child_weight"": 3.9878498150332993, ""n_estimators"": 920, ""reg_alpha"": 0.3359242791982268, ""reg_lambda"": 0.2026182019869309, ""scale_pos_weight"": 1.0, ""subsample"": 0.9279375862900242}",0.2673978463713324,0.03583602749258932,"[0.2826386299109686, 0.2968794320483229, 0.23278000179822336, 0.26993381311412823, 0.31264872884265205, 0.2095064725136993]",17.5,34.0,"[4, 13, 2, 27, 34, 25]",75,
137,"{""colsample_bylevel"": 0.9500115616990056, ""colsample_bytree"": 0.644381758616495, ""gamma"": 0.00031083398566061947, ""learning_rate"": 0.07956619036419693, ""max_bin"": 177, ""max_delta_step"": 3, ""max_depth"": 5, ""min_child_weight"": 1.1394052344109888, ""n_estimators"": 545, ""reg_alpha"": 2.325910216940717, ""reg_lambda"": 0.16577111294878882, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.8139738084289634}",0.26804860120566837,0.036347283171751475,"[0.2560553813241059, 0.26030823076068577, 0.2336460027961694, 0.2833478852458589, 0.34015120607314675, 0.2347829010340433]",59.166666666666664,173.0,"[7, 59, 12, 173, 20, 84]",75,
138,"{""colsample_bylevel"": 0.5840071038724317, ""colsample_bytree"": 0.8552805597193003, ""gamma"": 2.732186026013495, ""learning_rate"": 0.0074547806731850505, ""max_bin"": 789, ""max_delta_step"": 10, ""max_depth"": 8, ""min_child_weight"": 0.27334199104192747, ""n_estimators"": 1946, ""reg_alpha"": 0.0004203680235534546, ""reg_lambda"": 1.1433983240240402, ""scale_pos_weight"": 1.0, ""subsample"": 0.5763045763488494}",0.28432148011779507,0.03749053857514997,"[0.3084357010250183, 0.3164478222590561, 0.2241034939743382, 0.2691802420084902, 0.33117304072037046, 0.2565885807194974]",27.833333333333332,108.0,"[4, 4, 6, 5, 40, 108]",75,
139,"{""colsample_bylevel"": 0.5708871967635509, ""colsample_bytree"": 0.600997139700069, ""gamma"": 0.0578110067120029, ""learning_rate"": 0.051261818561048014, ""max_bin"": 681, ""max_delta_step"": 10, ""max_depth"": 8, ""min_child_weight"": 10.48114974128597, ""n_estimators"": 2906, ""reg_alpha"": 86.8544262858386, ""reg_lambda"": 0.13976953399198977, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.8214487345960175}",0.24112383482850905,0.037132473950525886,"[0.2, 0.2, 0.22364098500593232, 0.30187481904005914, 0.2688157345837169, 0.2524114703413459]",76.33333333333333,231.0,"[1, 1, 158, 231, 52, 15]",75,
140,"{""colsample_bylevel"": 0.6686135663777102, ""colsample_bytree"": 0.9480386357813206, ""gamma"": 0.7384464057567934, ""learning_rate"": 0.009125703966763888, ""max_bin"": 868, ""max_delta_step"": 0, ""max_depth"": 5, ""min_child_weight"": 0.20593773577239263, ""n_estimators"": 1776, ""reg_alpha"": 0.00038600667574472037, ""reg_lambda"": 0.8576995943768185, ""scale_pos_weight"": 1.0, ""subsample"": 0.7835769059087218}",0.288036255442315,0.043983295494473676,"[0.3179363878529252, 0.264846164254892, 0.2428854296057359, 0.28375809574965527, 0.3694208457646512, 0.24937060942603045]",9.166666666666666,23.0,"[2, 10, 5, 23, 14, 1]",75,
141,"{""colsample_bylevel"": 0.5338062817961075, ""colsample_bytree"": 0.8901960793022989, ""gamma"": 0.00029691137654141444, ""learning_rate"": 0.02897701902871144, ""max_bin"": 357, ""max_delta_step"": 1, ""max_depth"": 4, ""min_child_weight"": 2.550531538412149, ""n_estimators"": 2828, ""reg_alpha"": 0.01577649463742465, ""reg_lambda"": 0.22948411568877444, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9973627125495255}",0.2613847418590958,0.03547582048468665,"[0.25263203824898905, 0.2608856212105389, 0.22805164751686768, 0.2823050935870786, 0.32555983675462297, 0.21887421383647798]",36.333333333333336,151.0,"[26, 5, 3, 32, 151, 1]",75,
142,"{""colsample_bylevel"": 0.8309195949246893, ""colsample_bytree"": 0.7567808795535138, ""gamma"": 0.40165278381824154, ""learning_rate"": 0.021164783840025243, ""max_bin"": 391, ""max_delta_step"": 5, ""max_depth"": 3, ""min_child_weight"": 58.52161656698115, ""n_estimators"": 2268, ""reg_alpha"": 0.27843275148937807, ""reg_lambda"": 21.068452234426427, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.7911224580128866}",0.25996666182696687,0.029851300795545207,"[0.26143378268798906, 0.24125159723996936, 0.22914311840412777, 0.27552695711164565, 0.31667897816678037, 0.23576553735128905]",44.333333333333336,96.0,"[51, 1, 35, 7, 96, 76]",75,
143,"{""colsample_bylevel"": 0.5483382248233598, ""colsample_bytree"": 0.6977040149420018, ""gamma"": 0.5815777956086932, ""learning_rate"": 0.012913976622281591, ""max_bin"": 775, ""max_delta_step"": 5, ""max_depth"": 4, ""min_child_weight"": 46.74756382220145, ""n_estimators"": 636, ""reg_alpha"": 6.899267981097577e-05, ""reg_lambda"": 121.97154924719624, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9966175759712689}",0.2557994314278622,0.03179879670846056,"[0.26238140271967086, 0.23422192709082038, 0.21216352267209193, 0.2590320618184445, 0.31597200458026703, 0.2510256696858787]",44.333333333333336,90.0,"[90, 10, 5, 69, 8, 84]",75,
