Feature,Selection Mean,Holdout Mean,Selection Std,Holdout Std,PSI
market_hyg_downside_rv_63d,0.05082794,0.04480838,0.04915659874677658,0.03795352205634117,0.5873016573047334
market_xlv_rv_126d,0.15293357,0.16258004,0.0625523179769516,0.07286711037158966,0.5759272059989005
market_iyr_rv_21d,0.22955206,0.1991554,0.2107498049736023,0.12736253440380096,0.5734359346366869
market_hyg_ma_distance_126d,0.016508231,0.011026416,0.04143744707107544,0.027318201959133148,0.5679266008521763
market_iwm_downside_rv_63d,0.1283987,0.14331472,0.07112492620944977,0.07538876682519913,0.5649725362777708
market_dbc_downside_rv_126d,0.11224837,0.11887246,0.04341408982872963,0.03888140246272087,0.5555965062168682
market_xlv_return_252d,0.1146905,0.09761749,0.14728760719299316,0.10348045080900192,0.5464141877546552
market_shy_downside_rv_21d,0.0063077197,0.007965412,0.00445907935500145,0.005219316575676203,0.5350778762962705
market_lqd_return_21d,0.0054783025,0.0022087963,0.020450472831726074,0.02645266242325306,0.5349309830875317
market_vnq_rv_21d,0.23967505,0.20130076,0.21801719069480896,0.13142313063144684,0.5239147912855756
market_xle_rv_21d,0.24226727,0.28936797,0.15341630578041077,0.17792895436286926,0.5225165883226385
market_xlv_return_21d,0.008209134,0.00708672,0.039518751204013824,0.04452795907855034,0.5217805012653841
market_xlb_hl_spread_proxy_21d,0.017281933,0.01543266,0.010391885414719582,0.006566451862454414,0.5168699634941619
market_lqd_drawdown_126d,-0.016472083,-0.033117134,0.024042250588536263,0.037738993763923645,0.5166023519413496
market_xlf_hl_spread_proxy_21d,0.018829297,0.015542934,0.015787245705723763,0.007505820132791996,0.5083143840540623
market_xlk_ma_distance_200d,0.047486465,0.08225213,0.08578130602836609,0.09682611376047134,0.5069899631321473
market_slv_beta_to_spy_126d,0.3910043,0.49472487,0.3991653621196747,0.3374141454696655,0.5022932213729652
market_hyg_return_126d,0.033854116,0.022455249,0.07777276635169983,0.04924139380455017,0.4971351848657291
market_xlu_drawdown_252d,-0.062966414,-0.069637254,0.07886576652526855,0.055458951741456985,0.49226017840568037
market_vnq_return_252d,0.09599197,0.057381194,0.24091121554374695,0.1716126948595047,0.4917793212714454
market_xlp_downside_rv_126d,0.07464259,0.089977555,0.03225446492433548,0.04754549637436867,0.491244881248124
market_qqq_downside_rv_21d,0.10161682,0.12979172,0.06237819418311119,0.07625888288021088,0.4910199341952605
market_xlk_return_63d,0.029794442,0.05285674,0.08224408328533173,0.10305054485797882,0.481689145252572
market_shy_volume_zscore_63d,0.13515612,0.50909454,0.8891155123710632,0.8903709053993225,0.4793924116453008
market_qqq_downside_rv_63d,0.10945324,0.1370336,0.05526648461818695,0.06754302233457565,0.4740037401476588
market_tlt_ma_distance_200d,0.030829566,-0.01157478,0.06179302930831909,0.07289604097604752,0.4712369463207382
market_lqd_hl_spread_proxy_21d,0.0051405197,0.0056369486,0.004193193279206753,0.0036563272587955,0.46200160123829087
market_hyg_drawdown_63d,-0.019551525,-0.016400728,0.035471152514219284,0.024757813662290573,0.44983471063588254
market_xlb_rv_21d,0.20971279,0.20028946,0.12184861302375793,0.11494723707437515,0.4463811397288471
market_eem_rv_21d,0.25600758,0.19477692,0.18346253037452698,0.1043555736541748,0.44610451700611187
market_tlt_downside_rv_63d,0.079901114,0.09300029,0.025875503197312355,0.03362998366355896,0.4447284219237149
market_xlb_return_252d,0.1001178,0.11409522,0.19665776193141937,0.17749199271202087,0.442504987402872
market_xlb_ma_distance_63d,0.010524428,0.011891827,0.05304818972945213,0.051628559827804565,0.4370987693726559
market_tlt_return_126d,0.040952124,-0.014896786,0.09239868819713593,0.09930304437875748,0.4342861667530033
market_xlb_downside_rv_21d,0.12302846,0.116771206,0.07648948580026627,0.07277464866638184,0.43199382160032135
market_ief_return_126d,0.028153969,0.002163027,0.04378935322165489,0.04962954297661781,0.42882801083973565
market_spy_volume_zscore_63d,0.21258327,0.7395461,1.039167881011963,0.9546545147895813,0.4287065841981723
market_lqd_return_63d,0.015150664,0.0038307009,0.035157836973667145,0.04431186616420746,0.4281842434723199
market_xlp_drawdown_252d,-0.03678543,-0.041130606,0.05091589689254761,0.03556203097105026,0.4258697071025484
market_dbc_hl_spread_proxy_21d,0.013937601,0.012083761,0.006514543667435646,0.0040703872218728065,0.42547210480072356
