Strategy,month,Lookback Months Used,Configured Lookback Months,Weight Coverage,Ex-Ante Monthly Volatility,Ex-Ante Annualized Volatility,Ex-Ante 95pct Monthly VaR Proxy,Ex-Ante Beta To Benchmark,Realized Gross Return,Realized Net Return
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2023-10,36,36,1.0,0.04489624509404217,0.15552515514389198,0.07385432317969937,0.8173747284477832,0.058544646852993126,0.0577250330729203
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2023-11,36,36,1.0,0.0364089630523024,0.12612434771497158,0.05989274422103745,0.61401369456758,0.01789689734456817,0.017304457711499553
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2023-12,36,36,1.0,0.04092392444947587,0.14176463278320478,0.0673198557193878,0.618200634223981,-0.01990318633782915,-0.020311367716790735
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2024-01,36,36,1.0,0.04242721181637133,0.14697217297888354,0.06979276343793084,0.7159738711344438,0.004992054934516323,0.0043475552206502215
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2024-02,36,36,1.0,0.04761632045709151,0.1649477726023276,0.07832884715191553,0.8797842024101108,0.050438902816260456,0.05019596869242553
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2024-03,36,36,1.0,0.05036091896216081,0.17445534071664281,0.08284371169275453,0.9735564292059478,-0.05038665798466389,-0.05086688252384481
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2024-04,36,36,1.0,0.05013589073969135,0.1736758200877348,0.08247354026679228,0.9793539212398279,0.04619947557506673,0.045529909270515624
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2024-05,36,36,1.0,0.04760319611457342,0.16490230854621307,0.07830725760847328,0.8665777978820863,0.008295286007916262,0.007458548508888103
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2024-06,36,36,1.0,0.04058017055643996,0.14057383436712922,0.06675438056534373,0.6450984934227352,0.005387789936121771,0.004896010601715671
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2024-07,36,36,1.0,0.04709266230167422,0.16313376754036651,0.0774674294862541,0.8498274933850386,-5.735016227127786e-05,-0.0005760276930806258
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2024-08,36,36,1.0,0.05209497709518264,0.1804622942959865,0.08569623732157544,0.9610824678776735,0.03927788932138514,0.038994118158682804
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2024-09,36,36,1.0,0.03590874568961474,0.1243915439409653,0.059069886659416246,0.6325282790984302,-0.004709350237676459,-0.00545428431600149
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2024-10,36,36,1.0,0.042532036254215096,0.14733529548332402,0.06996519963818383,0.6936521177137027,0.01638469175625295,0.015647471581981442
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2024-11,36,36,1.0,0.03482138548793632,0.12062481771009456,0.05728117912765525,0.47837107225679976,-0.015964119179326757,-0.01638647160478083
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2024-12,36,36,1.0000000000000002,0.04093718281729975,0.1418105611165976,0.06734166573445809,0.6965908639457852,0.03767505357345188,0.03726399697796656
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2025-01,36,36,1.0,0.04866571711741523,0.16858298926827514,0.08005510465814805,0.9608231868653416,0.014145945086302151,0.013760652732593423
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2025-02,36,36,1.0,0.040415938039941125,0.14000491624146746,0.06648421807570315,0.707951833668109,-0.005752759573464095,-0.0064093631789243575
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2025-03,36,36,1.0,0.044361567443910455,0.15367297743249264,0.0729747784452327,0.7089538245922119,-0.010061359146836625,-0.010571167090903945
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2025-04,36,36,1.0,0.03263223138454113,0.11304136544473786,0.053680020627570164,0.3482191277356866,0.002383949325834297,0.001866423300898524
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2025-05,36,36,1.0,0.04393489041178853,0.1521949248363769,0.07227289472739214,0.7217283699384718,0.032594468667173214,0.03188002474385572
