month,asset,weight,Strategy
2023-06,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-07,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-08,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-09,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-10,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-11,GLD,0.35000000000000003,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-12,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-01,GLD,0.32151834052754913,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-02,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-03,GLD,0.3285709232470116,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-04,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-05,GLD,0.3362127591234839,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-06,GLD,0.31612339523271443,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-07,GLD,0.32833454791218786,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-08,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-09,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-10,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-11,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-12,GLD,0.33495022658378903,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-01,GLD,0.3481287346832467,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-02,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-03,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-04,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-05,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-06,GLD,0.3491496249619822,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-07,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-08,GLD,0.30530142889188683,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-09,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-10,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
