month,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct] Calibration Base,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibrated,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibration Base,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibrated,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibration Base
2022-06,0.00961716256269692,0.00961716256269692,-0.016381179592630225,-0.04177817449967377,-0.04177817449967377,-0.04177817449967377,-0.04177817449967377,-0.04177817449967377
2022-07,0.009761798372414567,0.02419725292804131,-0.008414037487177544,-0.006321049299131576,-0.006321049299131576,-0.008414037487177544,-0.008414037487177544,-0.008414037487177544
2022-08,0.005444153261179047,0.000622943262051515,0.004267045566725894,0.02419106412204245,0.02419106412204245,0.004267045566725894,0.004267045566725894,0.004267045566725894
2022-09,0.009713055962144185,0.04607768012913316,0.04607768012913316,-0.034786339067294114,-0.034786339067294114,-0.03289993335760506,-0.03289993335760506,-0.03289993335760506
2022-10,-0.006384564642580489,-0.006384564642580489,0.0015203731897367081,0.007677087495548591,0.007677087495548591,-0.006384564642580489,0.0015203731897367081,0.0015203731897367081
2022-11,-0.00918967258283491,0.015114914250370223,-0.006962115283616973,0.0200357211818879,0.0200357211818879,0.00153696972302079,0.03361366570923733,0.03361366570923733
2022-12,0.016589128982457048,0.02339586446268386,0.025008564386708176,0.0016537803272199292,0.0016537803272199292,0.015264028001578703,0.015264028001578703,0.015264028001578703
2023-01,-0.0037605353064678795,-0.002436273535987004,0.0046656951569977,-0.014120939224320376,-0.014120939224320376,0.0046656951569977,-0.025209447893213367,-0.025209447893213367
2023-02,-0.05432765503408132,-0.05432765503408132,-0.00595892332606107,-0.021971665413855312,-0.021971665413855312,-0.00595892332606107,-0.00595892332606107,-0.00595892332606107
2023-03,-0.008247142307439578,-0.016089011429034773,-0.02880499773542592,-0.017745475590351223,-0.017745475590351223,-0.02880499773542592,-0.0282879318922535,-0.0282879318922535
